promotion_id,merchant_id,promotion_type,start_date,end_date,promo_spend,promotion_return,promotion_roi
P0000076,M00051,BOGO,2026-05-05,2026-05-14,101.14,200.69,0.9843
P0000077,M00052,BOGO,2026-05-01,2026-05-10,98.28,232.04,1.361
P0000081,M00054,Percentage Off,2026-03-06,2026-03-15,310.16,434.76,0.4017
P0000078,M00054,Free Delivery,2026-03-13,2026-03-27,92.23,174.79,0.895
P0000082,M00054,Percentage Off,2026-04-30,2026-05-09,52.63,87.73,0.6668
P0000080,M00054,Sponsored Listing,2026-05-12,2026-05-16,69.97,193.98,1.7721
P0000079,M00054,Sponsored Listing,2026-05-17,2026-05-28,146.53,410.92,1.8044
P0000083,M00057,Free Delivery,2026-02-24,2026-03-09,177.2,483.55,1.7288
P0000085,M00059,BOGO,2026-02-13,2026-02-25,63.74,134.43,1.1092
P0000084,M00059,Sponsored Listing,2026-04-21,2026-05-01,77.83,167.43,1.1513
P0000086,M00059,Sponsored Listing,2026-05-02,2026-05-16,58.42,136.59,1.3382
P0000087,M00061,BOGO,2026-04-02,2026-04-06,63.9,132.95,1.0806
P0000088,M00063,BOGO,2026-04-18,2026-04-24,42.54,51.36,0.2075
P0000090,M00064,BOGO,2026-02-24,2026-03-03,70.74,167.93,1.374
P0000091,M00064,BOGO,2026-04-12,2026-04-21,46.4,73.36,0.5811
P0000089,M00064,BOGO,2026-04-22,2026-04-28,60.95,149.81,1.4579
P0000092,M00065,Free Delivery,2026-02-26,2026-03-08,90.8,85.55,-0.0579
P0000094,M00066,Free Delivery,2026-03-11,2026-03-19,109.46,126.1,0.1519
P0000093,M00066,Free Delivery,2026-05-01,2026-05-07,93.55,172.15,0.8403
P0000095,M00067,BOGO,2026-05-14,2026-05-25,95.36,166.59,0.747
P0000097,M00068,Free Delivery,2026-02-05,2026-02-16,142.92,236.55,0.6552
P0000096,M00068,BOGO,2026-03-12,2026-03-18,109.41,390.66,2.5706
P0000099,M00070,Free Delivery,2026-02-19,2026-03-04,41.9,88.34,1.1082
P0000098,M00070,BOGO,2026-05-11,2026-05-18,53.78,134.41,1.4993
P0000100,M00071,Free Delivery,2026-03-09,2026-03-18,38.0,81.9,1.1556
P0000101,M00074,Free Delivery,2026-02-06,2026-02-13,137.42,296.98,1.161
P0000102,M00074,BOGO,2026-02-25,2026-03-10,82.46,187.54,1.2744
P0000103,M00074,Free Delivery,2026-05-20,2026-05-27,41.28,34.52,-0.1639
P0000104,M00075,Free Delivery,2026-04-06,2026-04-12,62.79,89.13,0.4195
P0000106,M00076,BOGO,2026-03-20,2026-03-30,78.67,176.63,1.2452
P0000105,M00076,Percentage Off,2026-05-06,2026-05-18,70.76,165.9,1.3444
P0000107,M00077,Sponsored Listing,2026-05-05,2026-05-16,97.98,227.43,1.3213
P0000108,M00079,Percentage Off,2026-03-14,2026-03-23,90.31,158.63,0.7566
P0000109,M00081,BOGO,2026-04-04,2026-04-10,136.35,282.3,1.0704
P0000110,M00082,Free Delivery,2026-03-21,2026-04-04,145.22,263.87,0.8171
P0000111,M00083,Sponsored Listing,2026-03-09,2026-03-16,40.97,67.43,0.6456
P0000112,M00084,Percentage Off,2026-04-04,2026-04-16,67.58,201.37,1.9799
P0000113,M00085,BOGO,2026-02-24,2026-03-08,127.36,206.42,0.6207
P0000114,M00085,Sponsored Listing,2026-03-01,2026-03-06,61.11,167.35,1.7384
P0000115,M00085,Sponsored Listing,2026-05-04,2026-05-11,119.07,286.99,1.4103
P0000116,M00086,Percentage Off,2026-03-11,2026-03-18,43.62,75.98,0.742
P0000117,M00087,Free Delivery,2026-04-24,2026-05-03,104.58,229.82,1.1976
P0000118,M00088,BOGO,2026-05-04,2026-05-10,186.48,295.59,0.5851
P0000119,M00089,BOGO,2026-04-05,2026-04-11,106.84,158.69,0.4853
P0000120,M00089,Free Delivery,2026-04-13,2026-04-21,120.07,307.58,1.5617
P0000121,M00091,Percentage Off,2026-03-05,2026-03-18,67.52,149.95,1.2209
P0000122,M00092,Percentage Off,2026-02-24,2026-03-04,172.07,360.59,1.0956
P0000123,M00092,Sponsored Listing,2026-03-14,2026-03-22,121.48,277.29,1.2827
P0000124,M00094,Free Delivery,2026-04-20,2026-04-28,97.49,237.42,1.4354
P0000127,M00095,Free Delivery,2026-03-16,2026-03-28,14.92,37.0,1.4794
P0000125,M00095,Sponsored Listing,2026-03-19,2026-03-30,29.73,61.72,1.0756
P0000126,M00095,BOGO,2026-04-16,2026-04-21,200.88,521.34,1.5953
P0000129,M00096,Free Delivery,2026-03-23,2026-04-06,128.67,282.26,1.1936
P0000128,M00096,Free Delivery,2026-05-05,2026-05-09,119.79,152.62,0.274
P0000132,M00097,BOGO,2026-03-30,2026-04-08,64.72,102.93,0.5902
P0000131,M00097,Sponsored Listing,2026-04-09,2026-04-16,85.54,159.78,0.8679
P0000130,M00097,Free Delivery,2026-05-20,2026-05-24,78.01,152.26,0.9519
P0000133,M00098,Sponsored Listing,2026-02-09,2026-02-14,86.56,190.28,1.1981
P0000134,M00098,BOGO,2026-03-02,2026-03-14,52.9,167.66,2.1692
P0000135,M00099,Percentage Off,2026-02-23,2026-03-06,111.39,357.93,2.2134
P0000137,M00099,Percentage Off,2026-03-22,2026-03-28,79.61,225.71,1.8353
P0000136,M00099,Sponsored Listing,2026-04-27,2026-05-10,155.34,270.85,0.7436
P0000139,M00100,Sponsored Listing,2026-04-27,2026-05-09,111.05,172.01,0.549
P0000138,M00100,Percentage Off,2026-05-08,2026-05-13,52.68,139.36,1.6454
P0000140,M00103,Percentage Off,2026-03-27,2026-04-06,70.73,101.88,0.4404
P0000141,M00104,BOGO,2026-04-05,2026-04-15,18.38,40.59,1.2081
P0000142,M00104,Free Delivery,2026-04-21,2026-04-28,175.59,460.85,1.6246
P0000143,M00105,Percentage Off,2026-02-04,2026-02-12,32.64,103.62,2.1749
P0000145,M00106,Sponsored Listing,2026-04-03,2026-04-16,73.43,250.53,2.412
P0000144,M00106,Free Delivery,2026-05-11,2026-05-21,24.27,38.78,0.5982
P0000146,M00107,Percentage Off,2026-03-04,2026-03-15,64.04,150.79,1.3547
P0000149,M00108,Sponsored Listing,2026-02-02,2026-02-12,32.36,94.85,1.9309
P0000148,M00108,Percentage Off,2026-02-12,2026-02-25,49.94,48.36,-0.0316
P0000150,M00108,Free Delivery,2026-03-27,2026-04-03,37.72,73.18,0.9401
P0000147,M00108,BOGO,2026-05-02,2026-05-06,40.04,61.01,0.5239
P0000151,M00109,Percentage Off,2026-03-04,2026-03-15,44.46,114.21,1.5689
P0000152,M00110,Sponsored Listing,2026-02-02,2026-02-10,93.14,212.2,1.2782
P0000153,M00110,Percentage Off,2026-03-02,2026-03-15,28.13,62.44,1.2197
P0000155,M00111,Sponsored Listing,2026-02-23,2026-03-07,15.24,27.95,0.8339
P0000154,M00111,BOGO,2026-03-12,2026-03-17,178.09,405.9,1.2792
P0000156,M00111,Sponsored Listing,2026-04-08,2026-04-16,140.75,299.17,1.1255
P0000157,M00112,Sponsored Listing,2026-05-13,2026-05-20,170.88,355.12,1.0782
P0000158,M00115,Percentage Off,2026-02-27,2026-03-09,150.95,330.99,1.1928
P0000159,M00116,Sponsored Listing,2026-04-08,2026-04-15,38.13,77.73,1.0388
P0000160,M00117,Percentage Off,2026-03-27,2026-04-05,122.68,331.28,1.7004
P0000162,M00117,BOGO,2026-05-01,2026-05-09,30.74,55.17,0.7946
P0000161,M00117,BOGO,2026-05-09,2026-05-16,67.93,171.15,1.5195
P0000163,M00118,BOGO,2026-03-02,2026-03-07,106.74,183.61,0.7201
P0000166,M00119,Free Delivery,2026-02-01,2026-02-11,95.38,116.56,0.2221
P0000165,M00119,Sponsored Listing,2026-02-09,2026-02-23,58.01,103.55,0.7849
P0000164,M00119,Free Delivery,2026-04-10,2026-04-17,102.85,224.56,1.1833
P0000167,M00120,Sponsored Listing,2026-04-05,2026-04-13,121.17,371.82,2.0687
P0000168,M00121,Percentage Off,2026-02-04,2026-02-16,55.12,124.17,1.2529
P0000169,M00122,Percentage Off,2026-05-16,2026-05-23,45.23,145.3,2.2124
P0000170,M00124,Free Delivery,2026-02-17,2026-03-01,152.81,288.47,0.8878
P0000171,M00126,BOGO,2026-02-11,2026-02-23,202.96,271.88,0.3396
P0000172,M00127,BOGO,2026-03-31,2026-04-04,42.72,122.45,1.8663
P0000173,M00127,BOGO,2026-04-01,2026-04-11,208.88,583.76,1.7947
P0000174,M00128,BOGO,2026-02-13,2026-02-22,200.79,284.41,0.4165
P0000175,M00129,Percentage Off,2026-03-26,2026-04-06,92.76,242.5,1.6142
P0000176,M00130,Percentage Off,2026-04-09,2026-04-23,50.26,73.57,0.4638
P0000177,M00130,Sponsored Listing,2026-04-14,2026-04-28,67.28,151.67,1.2542
P0000179,M00131,Sponsored Listing,2026-02-08,2026-02-16,42.98,106.27,1.4722
P0000178,M00131,Percentage Off,2026-03-24,2026-04-06,74.34,119.56,0.6082
P0000180,M00132,Sponsored Listing,2026-03-20,2026-03-24,42.35,120.92,1.8555
P0000181,M00134,Percentage Off,2026-02-23,2026-03-01,53.44,62.69,0.173
P0000182,M00134,Free Delivery,2026-03-21,2026-03-26,88.69,256.48,1.8917
P0000183,M00135,Sponsored Listing,2026-03-20,2026-04-02,67.75,114.3,0.6872
P0000184,M00135,BOGO,2026-04-10,2026-04-22,53.5,96.6,0.8055
P0000185,M00136,Sponsored Listing,2026-04-17,2026-04-23,146.77,388.33,1.6458
P0000186,M00138,Free Delivery,2026-04-12,2026-04-21,47.12,117.49,1.4935
P0000187,M00139,BOGO,2026-02-28,2026-03-09,42.61,91.98,1.1583
P0000188,M00139,Sponsored Listing,2026-03-14,2026-03-27,51.46,112.92,1.1942
P0000189,M00140,BOGO,2026-02-26,2026-03-11,83.01,169.77,1.0452
P0000191,M00145,Free Delivery,2026-02-06,2026-02-11,80.61,82.26,0.0205
P0000190,M00145,BOGO,2026-05-16,2026-05-26,49.63,70.88,0.4282
P0000192,M00146,BOGO,2026-03-30,2026-04-05,118.4,360.43,2.0441
P0000193,M00147,BOGO,2026-03-07,2026-03-12,93.44,217.63,1.3292
P0000194,M00147,Percentage Off,2026-03-16,2026-03-27,215.94,559.3,1.5901
P0000195,M00148,Free Delivery,2026-02-15,2026-02-19,105.14,284.83,1.7091
P0000196,M00148,Percentage Off,2026-03-09,2026-03-15,151.36,306.88,1.0275
P0000197,M00148,Percentage Off,2026-04-17,2026-05-01,117.26,145.5,0.2408
P0000199,M00150,BOGO,2026-02-16,2026-02-23,75.72,72.66,-0.0404
P0000198,M00150,BOGO,2026-04-11,2026-04-18,58.43,104.77,0.7932
P0000201,M00150,Percentage Off,2026-05-04,2026-05-11,93.14,187.61,1.0144
P0000200,M00150,Percentage Off,2026-05-13,2026-05-20,132.67,348.64,1.628
P0000202,M00151,Free Delivery,2026-02-06,2026-02-18,46.78,102.6,1.1929
P0000203,M00153,BOGO,2026-05-12,2026-05-22,84.56,220.06,1.6026
P0000204,M00154,BOGO,2026-04-30,2026-05-14,69.14,184.4,1.667
P0000206,M00155,Sponsored Listing,2026-03-07,2026-03-15,184.47,436.94,1.3686
P0000205,M00155,Percentage Off,2026-04-18,2026-05-02,46.42,59.31,0.2778
P0000207,M00156,Percentage Off,2026-05-11,2026-05-23,55.97,117.94,1.1072
P0000208,M00157,BOGO,2026-04-18,2026-05-02,79.54,190.4,1.3936
P0000210,M00158,Sponsored Listing,2026-03-08,2026-03-21,172.09,266.55,0.5489
P0000211,M00158,Free Delivery,2026-03-27,2026-04-07,28.8,47.64,0.6541
P0000209,M00158,BOGO,2026-04-30,2026-05-09,89.73,142.92,0.5927
P0000212,M00159,Free Delivery,2026-05-10,2026-05-16,95.05,276.28,1.9067
P0000213,M00161,BOGO,2026-02-02,2026-02-13,103.16,152.45,0.4777
P0000214,M00161,Percentage Off,2026-04-01,2026-04-11,123.95,254.95,1.0568
P0000215,M00163,Percentage Off,2026-05-15,2026-05-25,49.34,155.05,2.1426
P0000217,M00164,Sponsored Listing,2026-02-25,2026-03-02,67.99,109.8,0.6151
P0000216,M00164,Free Delivery,2026-03-04,2026-03-09,83.09,189.03,1.275
P0000218,M00164,Free Delivery,2026-05-18,2026-05-30,133.89,300.46,1.244
P0000219,M00165,Percentage Off,2026-03-26,2026-03-30,81.12,196.1,1.4173
P0000220,M00166,BOGO,2026-05-12,2026-05-20,77.56,166.8,1.1507
P0000221,M00167,Free Delivery,2026-03-18,2026-03-23,128.31,223.38,0.7409
P0000222,M00167,Percentage Off,2026-03-31,2026-04-11,62.85,164.03,1.6099
P0000224,M00168,BOGO,2026-02-21,2026-03-01,126.9,274.34,1.1618
P0000223,M00168,Percentage Off,2026-05-17,2026-05-25,37.9,82.9,1.1872
P0000226,M00169,Free Delivery,2026-03-02,2026-03-15,29.14,35.1,0.2047
P0000225,M00169,Free Delivery,2026-03-28,2026-04-11,48.11,105.62,1.1954
P0000228,M00170,Free Delivery,2026-02-12,2026-02-20,115.79,181.09,0.5639
P0000229,M00170,Free Delivery,2026-02-15,2026-02-25,194.99,424.41,1.1765
P0000227,M00170,BOGO,2026-03-27,2026-04-06,184.22,259.72,0.4098
P0000232,M00172,Sponsored Listing,2026-02-28,2026-03-05,71.99,157.21,1.1839
P0000231,M00172,BOGO,2026-04-21,2026-05-04,60.03,196.39,2.2718
P0000230,M00172,BOGO,2026-05-07,2026-05-11,102.22,278.22,1.7217
P0000233,M00173,Percentage Off,2026-02-11,2026-02-20,51.26,121.44,1.3693
P0000234,M00173,BOGO,2026-03-28,2026-04-01,123.19,257.58,1.0909
P0000235,M00176,Free Delivery,2026-03-23,2026-04-05,369.75,561.16,0.5177
P0000236,M00178,Sponsored Listing,2026-02-27,2026-03-03,139.33,279.94,1.0091
P0000237,M00178,Percentage Off,2026-04-11,2026-04-21,76.08,143.76,0.8896
P0000238,M00178,Sponsored Listing,2026-05-11,2026-05-15,31.15,72.19,1.3178
P0000242,M00179,Free Delivery,2026-03-18,2026-03-28,38.4,113.09,1.9452
P0000241,M00179,Percentage Off,2026-03-23,2026-04-01,122.7,227.57,0.8546
P0000240,M00179,Sponsored Listing,2026-04-04,2026-04-11,154.5,267.84,0.7336
P0000239,M00179,Sponsored Listing,2026-04-17,2026-04-27,99.78,285.31,1.8595
P0000243,M00180,Free Delivery,2026-03-27,2026-04-04,159.89,303.27,0.8968
P0000244,M00183,BOGO,2026-03-19,2026-03-23,59.15,184.98,2.1276
P0000246,M00183,BOGO,2026-04-05,2026-04-11,55.26,101.48,0.8366
P0000245,M00183,Sponsored Listing,2026-04-09,2026-04-18,169.07,251.68,0.4886
P0000247,M00184,Free Delivery,2026-05-18,2026-05-28,110.92,249.23,1.247
P0000248,M00185,Percentage Off,2026-04-04,2026-04-08,113.81,163.79,0.4392
P0000249,M00185,Percentage Off,2026-04-17,2026-04-25,161.33,398.2,1.4682
P0000251,M00187,Percentage Off,2026-02-09,2026-02-13,78.56,180.26,1.2944
P0000253,M00187,BOGO,2026-03-15,2026-03-24,75.86,201.77,1.6597
P0000250,M00187,Percentage Off,2026-04-07,2026-04-19,361.52,705.13,0.9504
P0000252,M00187,Percentage Off,2026-05-18,2026-05-25,42.47,114.87,1.7046
P0000254,M00188,BOGO,2026-03-29,2026-04-08,156.18,349.37,1.237
P0000256,M00189,Sponsored Listing,2026-04-14,2026-04-20,114.26,361.0,2.1594
P0000255,M00189,Sponsored Listing,2026-04-29,2026-05-13,33.88,86.05,1.5398
P0000257,M00190,Sponsored Listing,2026-04-04,2026-04-17,53.98,95.62,0.7715
P0000258,M00191,BOGO,2026-05-18,2026-06-01,126.45,311.9,1.4666
P0000263,M00192,Percentage Off,2026-02-09,2026-02-17,88.21,219.07,1.4835
P0000262,M00192,Free Delivery,2026-02-27,2026-03-09,92.56,192.95,1.0846
P0000260,M00192,Free Delivery,2026-04-11,2026-04-23,84.6,193.65,1.289
P0000261,M00192,BOGO,2026-04-29,2026-05-10,126.3,270.59,1.1424
P0000259,M00192,Sponsored Listing,2026-05-20,2026-05-25,96.82,291.55,2.0111
P0000264,M00193,Free Delivery,2026-03-04,2026-03-14,75.92,211.93,1.7915
P0000266,M00194,Percentage Off,2026-02-02,2026-02-08,87.25,215.65,1.4715
P0000267,M00194,Free Delivery,2026-03-07,2026-03-20,230.66,618.16,1.68
P0000265,M00194,BOGO,2026-04-26,2026-05-03,60.72,135.07,1.2246
P0000269,M00195,BOGO,2026-02-20,2026-02-27,75.67,67.49,-0.1081
P0000268,M00195,Percentage Off,2026-05-05,2026-05-09,139.26,379.22,1.7231
P0000270,M00196,Free Delivery,2026-03-08,2026-03-19,27.48,58.23,1.1192
P0000271,M00197,Free Delivery,2026-02-03,2026-02-17,50.18,110.43,1.2008
P0000272,M00198,BOGO,2026-04-08,2026-04-22,53.55,114.84,1.1446
P0000273,M00199,Free Delivery,2026-02-20,2026-02-27,56.38,115.21,1.0433
P0000274,M00200,Percentage Off,2026-03-05,2026-03-14,65.72,179.06,1.7245
P0000275,M00200,Free Delivery,2026-05-02,2026-05-14,88.07,184.8,1.0982
P0000276,M00202,Free Delivery,2026-02-23,2026-03-03,76.92,203.96,1.6517
P0000277,M00203,Sponsored Listing,2026-05-20,2026-05-26,89.5,104.38,0.1663
P0000278,M00204,Free Delivery,2026-05-14,2026-05-22,56.57,134.35,1.375
P0000279,M00205,BOGO,2026-04-05,2026-04-09,42.1,67.85,0.6115
P0000280,M00206,Free Delivery,2026-05-02,2026-05-07,81.85,172.88,1.1121
P0000282,M00207,Free Delivery,2026-02-05,2026-02-15,22.49,64.73,1.8782
P0000281,M00207,Free Delivery,2026-03-19,2026-03-29,54.22,142.63,1.6304
P0000283,M00208,BOGO,2026-02-09,2026-02-13,40.41,87.01,1.1533
P0000285,M00208,BOGO,2026-03-03,2026-03-10,81.67,230.14,1.818
P0000284,M00208,Sponsored Listing,2026-03-07,2026-03-14,50.21,118.28,1.3555
P0000287,M00209,BOGO,2026-03-16,2026-03-30,72.45,125.72,0.7354
P0000286,M00209,Percentage Off,2026-05-09,2026-05-16,61.43,158.43,1.5791
P0000288,M00209,BOGO,2026-05-09,2026-05-18,52.17,175.0,2.3547
P0000289,M00209,Percentage Off,2026-05-19,2026-05-24,100.84,74.61,-0.2601
P0000290,M00210,Sponsored Listing,2026-04-11,2026-04-22,266.25,452.23,0.6985
P0000292,M00211,Percentage Off,2026-02-11,2026-02-16,82.76,178.9,1.1616
P0000294,M00211,Free Delivery,2026-02-20,2026-03-05,39.2,52.55,0.3405
P0000291,M00211,Free Delivery,2026-03-27,2026-03-31,41.33,65.19,0.5773
P0000293,M00211,Percentage Off,2026-04-09,2026-04-19,43.59,60.86,0.3961
P0000295,M00212,Percentage Off,2026-04-04,2026-04-13,29.92,84.53,1.8251
P0000296,M00212,BOGO,2026-04-20,2026-04-26,38.77,115.78,1.9866
P0000297,M00216,Sponsored Listing,2026-03-13,2026-03-23,46.86,112.8,1.4072
P0000298,M00216,BOGO,2026-03-25,2026-04-04,83.18,154.48,0.857
P0000299,M00216,Sponsored Listing,2026-05-13,2026-05-21,70.38,136.79,0.9434
P0000300,M00218,Free Delivery,2026-02-22,2026-03-06,156.69,449.93,1.8714
P0000301,M00218,Free Delivery,2026-04-01,2026-04-14,141.33,309.47,1.1898
P0000304,M00219,Free Delivery,2026-04-04,2026-04-17,71.36,200.69,1.8123
P0000302,M00219,BOGO,2026-05-15,2026-05-24,122.7,326.09,1.6577
P0000303,M00219,Sponsored Listing,2026-05-19,2026-05-24,80.29,211.73,1.6369
P0000305,M00220,BOGO,2026-03-17,2026-03-26,39.5,105.25,1.6648
P0000306,M00220,BOGO,2026-03-26,2026-03-31,85.69,181.33,1.116
P0000307,M00221,Percentage Off,2026-02-12,2026-02-22,70.34,105.91,0.5056
P0000309,M00222,Free Delivery,2026-02-23,2026-03-06,175.55,448.38,1.5541
P0000308,M00222,Sponsored Listing,2026-02-24,2026-03-01,59.61,89.31,0.4982
P0000310,M00222,Percentage Off,2026-04-04,2026-04-12,68.01,168.38,1.4757
P0000313,M00223,Sponsored Listing,2026-02-10,2026-02-14,211.19,524.13,1.4818
P0000312,M00223,Free Delivery,2026-03-09,2026-03-17,134.97,260.44,0.9296
P0000311,M00223,Sponsored Listing,2026-04-15,2026-04-19,203.22,554.15,1.7268
P0000314,M00225,Sponsored Listing,2026-02-06,2026-02-13,74.13,136.17,0.837
P0000315,M00226,BOGO,2026-03-29,2026-04-02,71.34,187.54,1.629
P0000316,M00227,Free Delivery,2026-03-18,2026-03-23,57.79,151.7,1.625
P0000317,M00227,Sponsored Listing,2026-04-22,2026-05-04,49.9,129.44,1.5938
P0000318,M00228,BOGO,2026-04-28,2026-05-04,25.46,76.42,2.0021
P0000319,M00230,Percentage Off,2026-02-22,2026-03-03,62.05,193.46,2.1177
P0000321,M00231,Percentage Off,2026-03-12,2026-03-20,320.93,728.27,1.2692
P0000320,M00231,Sponsored Listing,2026-03-27,2026-04-08,180.97,335.98,0.8565
P0000322,M00232,Free Delivery,2026-03-01,2026-03-11,177.11,510.53,1.8826
P0000323,M00233,Sponsored Listing,2026-05-06,2026-05-20,82.0,145.37,0.7728
P0000324,M00237,Free Delivery,2026-04-19,2026-05-03,35.96,56.23,0.5638
