merchant_id,date,is_open,scheduled_hours,actual_open_hours,business_hours_consistency,temporary_closure_flag,orders_created,accepted_orders,cancelled_orders,merchant_delay_orders,avg_prep_minutes
M00001,2026-03-10,0,7.65,0.0,0.0,1,0,0,0,0,
M00001,2026-03-11,1,11.84,10.29,0.8692,0,0,0,0,0,
M00001,2026-03-12,1,10.7,8.79,0.8212,0,0,0,0,0,
M00001,2026-03-13,1,7.28,6.36,0.8731,0,0,0,0,0,
M00001,2026-03-14,1,11.14,11.14,1.0,0,0,0,0,0,
M00001,2026-03-15,1,11.41,8.63,0.7563,0,0,0,0,0,
M00001,2026-03-16,1,9.59,6.92,0.7218,0,0,0,0,0,
M00001,2026-03-17,1,9.32,7.75,0.8318,0,0,0,0,0,
M00001,2026-03-18,1,10.48,8.47,0.8087,0,0,0,0,0,
M00001,2026-03-19,1,8.15,6.59,0.808,0,0,0,0,0,
M00001,2026-03-20,1,7.25,5.01,0.6913,0,1,1,0,0,17.55
M00001,2026-03-21,1,10.19,9.16,0.8989,0,0,0,0,0,
M00001,2026-03-22,1,8.79,7.4,0.841,0,1,0,1,0,
M00001,2026-03-23,0,6.3,0.0,0.0,0,0,0,0,0,
M00001,2026-03-24,1,11.15,8.65,0.7754,0,0,0,0,0,
M00001,2026-03-25,1,8.57,8.57,1.0,0,0,0,0,0,
M00001,2026-03-26,1,9.85,7.37,0.7487,0,0,0,0,0,
M00001,2026-03-27,0,8.66,0.0,0.0,0,1,1,0,0,26.93
M00001,2026-03-28,1,6.47,6.18,0.9545,0,0,0,0,0,
M00001,2026-03-29,1,8.13,6.73,0.8275,0,0,0,0,0,
M00001,2026-03-30,1,11.33,7.91,0.6979,0,0,0,0,0,
M00001,2026-03-31,1,11.04,10.74,0.9732,0,1,1,0,0,19.43
M00001,2026-04-01,1,8.38,7.35,0.8768,0,0,0,0,0,
M00001,2026-04-02,1,9.47,8.09,0.8541,0,1,1,0,1,17.09
M00001,2026-04-03,1,6.6,5.43,0.8229,0,3,3,0,0,17.243333333333336
M00001,2026-04-04,1,8.72,8.72,1.0,0,0,0,0,0,
M00001,2026-04-05,1,9.03,7.32,0.8102,0,0,0,0,0,
M00001,2026-04-06,1,11.05,11.02,0.9975,0,1,1,0,0,20.91
M00001,2026-04-07,1,8.98,8.67,0.9665,0,0,0,0,0,
M00001,2026-04-08,1,11.6,11.6,1.0,0,0,0,0,0,
M00001,2026-04-09,1,9.91,8.44,0.8516,0,0,0,0,0,
M00001,2026-04-10,1,10.73,10.1,0.9416,0,0,0,0,0,
M00001,2026-04-11,1,10.7,8.62,0.8055,0,0,0,0,0,
M00001,2026-04-12,1,8.85,8.85,1.0,0,0,0,0,0,
M00001,2026-04-13,1,9.54,9.24,0.9683,0,0,0,0,0,
M00001,2026-04-14,1,8.2,7.83,0.9544,0,0,0,0,0,
M00001,2026-04-15,1,6.97,5.78,0.8301,0,1,1,0,0,20.57
M00001,2026-04-16,0,9.16,0.0,0.0,0,0,0,0,0,
M00001,2026-04-17,1,8.46,7.88,0.9313,0,1,1,0,0,20.03
M00001,2026-04-18,1,9.92,9.84,0.9927,0,0,0,0,0,
M00001,2026-04-19,1,9.78,8.65,0.8849,0,0,0,0,0,
M00001,2026-04-20,1,9.27,8.4,0.9066,0,1,1,0,0,16.51
M00001,2026-04-21,1,11.05,11.05,1.0,0,0,0,0,0,
M00001,2026-04-22,1,10.35,8.57,0.8282,0,1,1,0,0,22.02
M00001,2026-04-23,1,9.19,9.19,1.0,0,0,0,0,0,
M00001,2026-04-24,1,8.18,8.18,1.0,0,1,1,0,0,26.59
M00001,2026-04-25,1,10.18,9.64,0.9468,0,0,0,0,0,
M00001,2026-04-26,1,9.09,8.44,0.929,0,1,1,0,0,24.16
M00001,2026-04-27,1,9.01,7.59,0.843,0,0,0,0,0,
M00001,2026-04-28,1,9.04,7.64,0.8449,0,0,0,0,0,
M00001,2026-04-29,1,12.52,10.65,0.8507,0,0,0,0,0,
M00001,2026-04-30,1,9.18,9.18,1.0,0,1,1,0,0,22.67
M00001,2026-05-01,1,8.33,8.22,0.9861,0,0,0,0,0,
M00001,2026-05-02,1,9.59,7.2,0.7513,0,0,0,0,0,
M00001,2026-05-03,1,8.01,5.72,0.7137,0,0,0,0,0,
M00001,2026-05-04,1,7.72,7.42,0.9609,0,0,0,0,0,
M00001,2026-05-05,1,9.08,7.91,0.8711,0,0,0,0,0,
M00001,2026-05-06,1,10.78,8.95,0.8306,0,2,2,0,0,16.16
M00001,2026-05-07,1,9.46,6.6,0.697,0,0,0,0,0,
M00001,2026-05-08,1,7.72,6.43,0.8327,0,0,0,0,0,
M00001,2026-05-09,1,6.73,5.95,0.8836,0,0,0,0,0,
M00001,2026-05-10,1,7.91,7.91,1.0,0,0,0,0,0,
M00001,2026-05-11,1,6.79,6.79,1.0,0,0,0,0,0,
M00001,2026-05-12,1,10.7,10.41,0.9727,0,1,1,0,0,18.84
M00001,2026-05-13,0,10.13,0.0,0.0,1,0,0,0,0,
M00001,2026-05-14,1,7.96,5.87,0.7367,0,0,0,0,0,
M00001,2026-05-15,1,9.43,9.07,0.9614,0,0,0,0,0,
M00001,2026-05-16,1,10.24,8.73,0.8529,0,0,0,0,0,
M00001,2026-05-17,1,7.41,6.24,0.8429,0,0,0,0,0,
M00001,2026-05-18,1,10.7,10.36,0.9678,0,0,0,0,0,
M00001,2026-05-19,1,9.57,5.29,0.5526,0,0,0,0,0,
M00001,2026-05-20,1,8.16,6.08,0.7454,0,0,0,0,0,
M00001,2026-05-21,1,11.54,9.59,0.8308,0,0,0,0,0,
M00001,2026-05-22,1,8.4,6.7,0.797,0,0,0,0,0,
M00001,2026-05-23,1,10.0,9.27,0.927,0,0,0,0,0,
M00001,2026-05-24,1,10.06,8.37,0.8319,0,0,0,0,0,
M00001,2026-05-25,1,7.2,6.03,0.837,0,0,0,0,0,
M00001,2026-05-26,1,8.2,7.15,0.8711,0,1,1,0,0,25.34
M00001,2026-05-27,1,8.14,8.14,1.0,0,0,0,0,0,
M00001,2026-05-28,1,8.18,6.62,0.8097,0,0,0,0,0,
M00001,2026-05-29,1,8.73,7.26,0.8321,0,0,0,0,0,
M00001,2026-05-30,1,7.31,7.25,0.991,0,0,0,0,0,
M00001,2026-05-31,1,9.19,8.53,0.9281,0,3,3,0,1,18.643333333333334
M00002,2026-02-01,1,9.42,7.31,0.776,0,0,0,0,0,
M00002,2026-02-02,1,9.36,6.16,0.6585,0,0,0,0,0,
M00002,2026-02-03,1,5.99,4.93,0.8228,0,0,0,0,0,
M00002,2026-02-04,1,9.81,7.29,0.7426,0,0,0,0,0,
M00002,2026-02-05,0,10.49,0.0,0.0,1,2,2,0,0,23.905
M00002,2026-02-06,1,8.32,7.64,0.9185,0,1,1,0,0,29.46
M00002,2026-02-07,1,9.1,6.52,0.7173,0,0,0,0,0,
M00002,2026-02-08,1,9.87,5.5,0.5572,0,0,0,0,0,
M00002,2026-02-09,1,9.44,9.44,1.0,0,0,0,0,0,
M00002,2026-02-10,1,10.91,8.78,0.8044,0,0,0,0,0,
M00002,2026-02-11,1,8.73,7.12,0.8156,0,0,0,0,0,
M00002,2026-02-12,1,9.91,7.14,0.7201,0,0,0,0,0,
M00002,2026-02-13,1,10.15,9.46,0.9327,0,0,0,0,0,
M00002,2026-02-14,1,9.31,8.2,0.8805,0,0,0,0,0,
M00002,2026-02-15,1,9.61,9.22,0.9596,0,0,0,0,0,
M00002,2026-02-16,1,8.78,7.02,0.7997,0,1,1,0,1,24.76
M00002,2026-02-17,0,10.53,0.0,0.0,1,0,0,0,0,
M00002,2026-02-18,1,10.8,9.25,0.8568,0,1,1,0,0,19.11
M00002,2026-02-19,1,10.44,9.71,0.9309,0,0,0,0,0,
M00002,2026-02-20,0,7.76,0.0,0.0,0,0,0,0,0,
M00002,2026-02-21,1,9.58,7.26,0.7581,0,0,0,0,0,
M00002,2026-02-22,1,11.49,9.55,0.8307,0,0,0,0,0,
M00002,2026-02-23,1,10.96,7.01,0.6398,0,0,0,0,0,
M00002,2026-02-24,1,8.64,7.76,0.8981,0,0,0,0,0,
M00002,2026-02-25,1,10.65,7.71,0.7246,0,0,0,0,0,
M00002,2026-02-26,1,8.4,7.49,0.8918,0,0,0,0,0,
M00002,2026-02-27,0,8.3,0.0,0.0,1,0,0,0,0,
M00002,2026-02-28,1,7.51,5.62,0.7485,0,0,0,0,0,
M00002,2026-03-01,1,8.7,7.65,0.8786,0,1,1,0,1,16.43
M00002,2026-03-02,1,7.96,6.29,0.7906,0,1,1,0,0,12.24
M00002,2026-03-03,1,8.59,5.92,0.6891,0,1,1,0,0,24.13
M00002,2026-03-04,1,10.11,8.04,0.7957,0,0,0,0,0,
M00002,2026-03-05,1,6.82,6.57,0.9629,0,0,0,0,0,
M00002,2026-03-06,1,7.64,5.39,0.7051,0,0,0,0,0,
M00002,2026-03-07,1,10.43,9.49,0.9102,0,0,0,0,0,
M00002,2026-03-08,0,9.44,0.0,0.0,1,1,1,0,0,27.71
M00002,2026-03-09,0,9.82,0.0,0.0,1,0,0,0,0,
M00002,2026-03-10,1,7.8,6.87,0.88,0,0,0,0,0,
M00002,2026-03-11,1,7.11,5.96,0.8373,0,0,0,0,0,
M00002,2026-03-12,1,8.18,7.08,0.8661,0,0,0,0,0,
M00002,2026-03-13,1,9.69,7.59,0.7837,0,1,1,0,1,26.99
M00002,2026-03-14,0,8.41,0.0,0.0,1,0,0,0,0,
M00002,2026-03-15,1,10.11,8.33,0.8235,0,0,0,0,0,
M00002,2026-03-16,1,10.22,7.99,0.7823,0,0,0,0,0,
M00002,2026-03-17,0,10.35,0.0,0.0,0,0,0,0,0,
M00002,2026-03-18,1,10.96,10.25,0.9356,0,0,0,0,0,
M00002,2026-03-19,1,9.7,8.23,0.8489,0,0,0,0,0,
M00002,2026-03-20,0,8.67,0.0,0.0,1,0,0,0,0,
M00002,2026-03-21,1,9.89,8.38,0.8474,0,0,0,0,0,
M00002,2026-03-22,1,9.93,8.73,0.8795,0,1,1,0,0,23.19
M00002,2026-03-23,1,10.37,8.15,0.7854,0,0,0,0,0,
M00002,2026-03-24,1,7.73,6.38,0.8248,0,0,0,0,0,
M00002,2026-03-25,1,7.19,6.11,0.8498,0,0,0,0,0,
M00002,2026-03-26,1,7.71,6.23,0.8071,0,0,0,0,0,
M00002,2026-03-27,1,7.21,5.1,0.7074,0,0,0,0,0,
M00002,2026-03-28,1,7.5,5.93,0.7901,0,0,0,0,0,
M00002,2026-03-29,1,9.53,5.21,0.5466,0,0,0,0,0,
M00002,2026-03-30,1,9.74,7.37,0.7564,0,0,0,0,0,
M00002,2026-03-31,1,9.93,7.92,0.7977,0,0,0,0,0,
M00002,2026-04-01,1,8.03,4.77,0.594,0,0,0,0,0,
M00002,2026-04-02,1,10.06,7.09,0.7047,0,0,0,0,0,
M00002,2026-04-03,1,8.43,7.17,0.8506,0,0,0,0,0,
M00002,2026-04-04,1,9.14,7.33,0.8014,0,2,2,0,0,27.05
M00002,2026-04-05,0,7.18,0.0,0.0,1,0,0,0,0,
M00002,2026-04-06,1,8.65,6.36,0.7352,0,0,0,0,0,
M00002,2026-04-07,1,7.55,5.54,0.7332,0,0,0,0,0,
M00002,2026-04-08,1,7.34,4.64,0.6328,0,1,1,0,0,30.79
M00002,2026-04-09,1,9.11,6.7,0.7352,0,0,0,0,0,
M00002,2026-04-10,0,7.38,0.0,0.0,1,0,0,0,0,
M00002,2026-04-11,0,9.76,0.0,0.0,1,0,0,0,0,
M00002,2026-04-12,1,7.17,4.72,0.6581,0,0,0,0,0,
M00002,2026-04-13,1,8.04,6.54,0.8134,0,0,0,0,0,
M00002,2026-04-14,1,10.63,7.68,0.7223,0,1,1,0,0,17.64
M00002,2026-04-15,1,10.33,8.54,0.8267,0,2,2,0,0,23.955
M00002,2026-04-16,1,8.97,6.88,0.7667,0,0,0,0,0,
M00002,2026-04-17,1,9.18,8.08,0.8809,0,0,0,0,0,
M00002,2026-04-18,0,8.96,0.0,0.0,0,0,0,0,0,
M00002,2026-04-19,1,9.5,8.18,0.8609,0,0,0,0,0,
M00002,2026-04-20,0,9.01,0.0,0.0,1,0,0,0,0,
M00002,2026-04-21,1,11.27,7.11,0.6308,0,0,0,0,0,
M00002,2026-04-22,1,10.76,9.25,0.8592,0,0,0,0,0,
M00002,2026-04-23,1,9.33,9.23,0.9893,0,1,1,0,0,18.67
M00002,2026-04-24,1,10.75,7.08,0.6585,0,1,1,0,0,16.27
M00002,2026-04-25,1,8.97,8.23,0.9176,0,0,0,0,0,
M00002,2026-04-26,1,10.01,7.48,0.7467,0,1,1,0,0,20.52
M00002,2026-04-27,1,7.45,6.11,0.8194,0,1,1,0,0,24.72
M00002,2026-04-28,1,8.86,7.78,0.8778,0,0,0,0,0,
M00002,2026-04-29,1,8.24,4.98,0.6041,0,0,0,0,0,
M00002,2026-04-30,1,7.58,6.73,0.8871,0,0,0,0,0,
M00002,2026-05-01,1,9.09,8.16,0.8969,0,2,2,0,0,24.535
M00002,2026-05-02,0,7.05,0.0,0.0,0,1,0,1,0,
M00002,2026-05-03,1,10.07,8.61,0.8542,0,1,1,0,0,17.17
M00002,2026-05-04,1,9.04,7.25,0.8024,0,1,1,0,0,16.46
M00002,2026-05-05,1,6.2,4.18,0.6731,0,0,0,0,0,
M00002,2026-05-06,1,10.22,5.82,0.5696,0,1,1,0,0,18.73
M00002,2026-05-07,1,10.01,7.98,0.7978,0,0,0,0,0,
M00002,2026-05-08,1,7.89,6.51,0.8245,0,0,0,0,0,
M00002,2026-05-09,0,10.13,0.0,0.0,0,0,0,0,0,
M00002,2026-05-10,0,7.51,0.0,0.0,1,0,0,0,0,
M00002,2026-05-11,0,7.33,0.0,0.0,1,0,0,0,0,
M00002,2026-05-12,1,10.1,8.56,0.8478,0,0,0,0,0,
M00002,2026-05-13,0,10.74,0.0,0.0,1,0,0,0,0,
M00002,2026-05-14,1,8.39,6.66,0.7935,0,0,0,0,0,
M00002,2026-05-15,1,8.89,5.89,0.6633,0,0,0,0,0,
M00002,2026-05-16,1,9.69,7.98,0.8239,0,0,0,0,0,
M00002,2026-05-17,1,10.92,9.16,0.839,0,0,0,0,0,
M00002,2026-05-18,1,8.09,7.34,0.9073,0,2,2,0,1,23.335
M00002,2026-05-19,1,10.28,7.51,0.7307,0,0,0,0,0,
M00002,2026-05-20,1,9.46,8.03,0.8484,0,1,1,0,1,28.45
M00002,2026-05-21,1,8.36,7.05,0.8427,0,0,0,0,0,
M00002,2026-05-22,0,9.46,0.0,0.0,1,1,1,0,0,26.03
M00002,2026-05-23,1,8.69,6.59,0.7586,0,0,0,0,0,
M00002,2026-05-24,0,8.03,0.0,0.0,0,0,0,0,0,
M00002,2026-05-25,1,10.96,9.88,0.902,0,1,1,0,0,23.28
M00002,2026-05-26,1,8.25,8.25,1.0,0,0,0,0,0,
M00002,2026-05-27,1,10.16,6.04,0.5949,0,0,0,0,0,
M00002,2026-05-28,1,9.16,7.36,0.8034,0,0,0,0,0,
M00002,2026-05-29,0,7.65,0.0,0.0,0,1,1,0,0,14.61
M00002,2026-05-30,1,10.96,8.7,0.7936,0,1,1,0,0,21.41
M00002,2026-05-31,1,9.67,7.88,0.8142,0,0,0,0,0,
M00003,2026-02-01,1,8.05,6.18,0.7677,0,0,0,0,0,
M00003,2026-02-02,0,9.24,0.0,0.0,1,0,0,0,0,
M00003,2026-02-03,1,9.52,7.92,0.8322,0,0,0,0,0,
M00003,2026-02-04,1,8.24,6.84,0.8298,0,0,0,0,0,
M00003,2026-02-05,1,8.7,5.45,0.6259,0,1,1,0,0,26.49
M00003,2026-02-06,1,9.98,6.12,0.6137,0,0,0,0,0,
M00003,2026-02-07,1,9.24,8.61,0.9318,0,0,0,0,0,
M00003,2026-02-08,0,10.08,0.0,0.0,0,0,0,0,0,
M00003,2026-02-09,1,10.13,9.19,0.9071,0,1,1,0,0,26.69
M00003,2026-02-10,1,8.66,6.96,0.8033,0,0,0,0,0,
M00003,2026-02-11,0,7.89,0.0,0.0,0,0,0,0,0,
M00003,2026-02-12,1,7.17,6.25,0.8717,0,0,0,0,0,
M00003,2026-02-13,1,6.85,4.36,0.6364,0,0,0,0,0,
M00003,2026-02-14,1,9.5,6.38,0.6718,0,0,0,0,0,
M00003,2026-02-15,0,10.57,0.0,0.0,0,0,0,0,0,
M00003,2026-02-16,1,7.29,6.44,0.8831,0,0,0,0,0,
M00003,2026-02-17,1,9.61,7.95,0.8278,0,0,0,0,0,
M00003,2026-02-18,1,10.35,9.03,0.8722,0,0,0,0,0,
M00003,2026-02-19,1,9.19,7.39,0.8043,0,0,0,0,0,
M00003,2026-02-20,1,13.3,11.55,0.8689,0,0,0,0,0,
M00003,2026-02-21,1,8.91,7.21,0.8094,0,0,0,0,0,
M00003,2026-02-22,1,9.5,8.65,0.9101,0,0,0,0,0,
M00003,2026-02-23,1,9.54,6.27,0.6577,0,0,0,0,0,
M00003,2026-02-24,0,9.79,0.0,0.0,0,0,0,0,0,
M00003,2026-02-25,0,10.24,0.0,0.0,1,0,0,0,0,
M00003,2026-02-26,1,10.33,7.08,0.6856,0,1,1,0,0,22.88
M00003,2026-02-27,1,9.45,7.25,0.7677,0,0,0,0,0,
M00003,2026-02-28,1,9.49,6.25,0.6587,0,1,1,0,0,23.08
M00003,2026-03-01,1,8.27,5.89,0.7123,0,0,0,0,0,
M00003,2026-03-02,0,11.62,0.0,0.0,1,1,1,0,0,19.99
M00003,2026-03-03,0,11.25,0.0,0.0,1,0,0,0,0,
M00003,2026-03-04,0,8.65,0.0,0.0,1,0,0,0,0,
M00003,2026-03-05,1,8.37,6.08,0.7269,0,0,0,0,0,
M00003,2026-03-06,1,9.68,8.39,0.8669,0,1,1,0,0,23.1
M00003,2026-03-07,1,8.99,6.78,0.7546,0,0,0,0,0,
M00003,2026-03-08,1,8.53,6.62,0.7753,0,1,1,0,0,30.89
M00003,2026-03-09,1,10.61,8.49,0.8008,0,0,0,0,0,
M00003,2026-03-10,1,11.29,9.38,0.8314,0,1,1,0,0,24.7
M00003,2026-03-11,1,8.66,5.97,0.6889,0,0,0,0,0,
M00003,2026-03-12,1,10.47,8.22,0.7851,0,0,0,0,0,
M00003,2026-03-13,1,8.6,4.87,0.5658,0,0,0,0,0,
M00003,2026-03-14,0,8.97,0.0,0.0,0,0,0,0,0,
M00003,2026-03-15,1,9.16,6.19,0.6757,0,0,0,0,0,
M00003,2026-03-16,1,8.98,7.61,0.8476,0,0,0,0,0,
M00003,2026-03-17,0,7.12,0.0,0.0,1,0,0,0,0,
M00003,2026-03-18,1,10.51,7.65,0.7276,0,1,1,0,0,15.52
M00003,2026-03-19,1,8.09,6.93,0.8568,0,0,0,0,0,
M00003,2026-03-20,1,10.55,8.09,0.7669,0,0,0,0,0,
M00003,2026-03-21,1,9.0,6.82,0.7579,0,1,0,1,0,
M00003,2026-03-22,1,7.68,5.94,0.7732,0,0,0,0,0,
M00003,2026-03-23,1,9.9,8.38,0.8465,0,0,0,0,0,
M00003,2026-03-24,0,9.56,0.0,0.0,1,0,0,0,0,
M00003,2026-03-25,1,8.47,6.89,0.8143,0,0,0,0,0,
M00003,2026-03-26,0,8.55,0.0,0.0,0,0,0,0,0,
M00003,2026-03-27,0,6.49,0.0,0.0,0,0,0,0,0,
M00003,2026-03-28,1,8.81,7.04,0.7989,0,0,0,0,0,
M00003,2026-03-29,1,7.11,5.6,0.7876,0,0,0,0,0,
M00003,2026-03-30,1,7.52,6.97,0.9267,0,0,0,0,0,
M00003,2026-03-31,1,11.54,11.34,0.9827,0,0,0,0,0,
M00003,2026-04-01,1,7.24,5.06,0.6988,0,0,0,0,0,
M00003,2026-04-02,0,9.15,0.0,0.0,0,0,0,0,0,
M00003,2026-04-03,1,7.36,5.21,0.707,0,0,0,0,0,
M00003,2026-04-04,0,8.78,0.0,0.0,1,0,0,0,0,
M00003,2026-04-05,1,8.94,7.84,0.8767,0,1,1,0,0,14.66
M00003,2026-04-06,1,8.24,6.65,0.8067,0,0,0,0,0,
M00003,2026-04-07,1,6.51,4.8,0.7373,0,1,1,0,0,18.86
M00003,2026-04-08,1,10.09,7.25,0.7186,0,0,0,0,0,
M00003,2026-04-09,1,8.33,5.36,0.6434,0,0,0,0,0,
M00003,2026-04-10,1,9.66,7.94,0.8219,0,0,0,0,0,
M00003,2026-04-11,0,11.91,0.0,0.0,1,0,0,0,0,
M00003,2026-04-12,0,11.06,0.0,0.0,0,0,0,0,0,
M00003,2026-04-13,1,8.71,7.05,0.8092,0,0,0,0,0,
M00003,2026-04-14,1,8.09,5.9,0.7294,0,0,0,0,0,
M00003,2026-04-15,1,8.08,6.66,0.824,0,0,0,0,0,
M00003,2026-04-16,1,7.84,3.63,0.4634,0,0,0,0,0,
M00003,2026-04-17,1,7.95,4.57,0.5753,0,0,0,0,0,
M00003,2026-04-18,1,10.36,6.72,0.6486,0,0,0,0,0,
M00003,2026-04-19,1,8.72,7.5,0.8604,0,0,0,0,0,
M00003,2026-04-20,1,12.26,9.51,0.7759,0,0,0,0,0,
M00003,2026-04-21,1,10.18,7.23,0.7101,0,0,0,0,0,
M00003,2026-04-22,1,8.09,5.52,0.6826,0,0,0,0,0,
M00003,2026-04-23,1,9.24,7.57,0.8191,0,0,0,0,0,
M00003,2026-04-24,1,9.19,8.53,0.9286,0,0,0,0,0,
M00003,2026-04-25,1,10.51,7.25,0.6899,0,0,0,0,0,
M00003,2026-04-26,0,7.91,0.0,0.0,1,0,0,0,0,
M00003,2026-04-27,0,7.3,0.0,0.0,1,0,0,0,0,
M00003,2026-04-28,1,7.11,5.77,0.8112,0,1,1,0,0,34.3
M00003,2026-04-29,0,8.83,0.0,0.0,0,0,0,0,0,
M00003,2026-04-30,0,8.23,0.0,0.0,0,0,0,0,0,
M00003,2026-05-01,0,11.28,0.0,0.0,1,0,0,0,0,
M00003,2026-05-02,1,9.08,7.75,0.8533,0,1,1,0,1,16.05
M00003,2026-05-03,1,11.74,9.94,0.8472,0,0,0,0,0,
M00003,2026-05-04,1,8.89,6.69,0.7527,0,0,0,0,0,
M00003,2026-05-05,1,9.18,7.73,0.8424,0,0,0,0,0,
M00003,2026-05-06,1,9.43,7.35,0.7788,0,0,0,0,0,
M00003,2026-05-07,1,7.33,6.13,0.8356,0,0,0,0,0,
M00003,2026-05-08,1,8.0,7.25,0.9061,0,0,0,0,0,
M00003,2026-05-09,1,10.35,7.63,0.7375,0,0,0,0,0,
M00003,2026-05-10,1,8.9,6.11,0.6866,0,0,0,0,0,
M00003,2026-05-11,1,8.28,7.13,0.8617,0,0,0,0,0,
M00003,2026-05-12,1,7.73,7.73,1.0,0,0,0,0,0,
M00003,2026-05-13,1,9.13,7.29,0.7985,0,0,0,0,0,
M00003,2026-05-14,1,8.74,7.68,0.8783,0,0,0,0,0,
M00003,2026-05-15,1,8.47,7.97,0.9412,0,0,0,0,0,
M00003,2026-05-16,1,8.44,6.25,0.7402,0,0,0,0,0,
M00003,2026-05-17,1,9.38,6.66,0.7095,0,0,0,0,0,
M00003,2026-05-18,1,7.63,6.94,0.9086,0,0,0,0,0,
M00003,2026-05-19,1,8.52,6.45,0.7577,0,0,0,0,0,
M00003,2026-05-20,1,9.12,6.96,0.7625,0,1,1,0,0,19.05
M00003,2026-05-21,1,9.86,6.11,0.6201,0,0,0,0,0,
M00003,2026-05-22,1,9.23,7.94,0.8603,0,1,1,0,0,22.72
M00003,2026-05-23,1,10.39,8.9,0.8568,0,0,0,0,0,
M00003,2026-05-24,1,7.86,6.46,0.8216,0,0,0,0,0,
M00003,2026-05-25,1,9.12,8.74,0.9586,0,0,0,0,0,
M00003,2026-05-26,1,10.11,8.27,0.8182,0,0,0,0,0,
M00003,2026-05-27,0,6.69,0.0,0.0,1,0,0,0,0,
M00003,2026-05-28,0,9.61,0.0,0.0,1,1,1,0,0,23.99
M00003,2026-05-29,0,7.67,0.0,0.0,1,0,0,0,0,
M00003,2026-05-30,1,9.68,8.41,0.8691,0,0,0,0,0,
M00003,2026-05-31,1,9.86,6.67,0.6767,0,0,0,0,0,
M00004,2026-02-01,1,11.57,9.91,0.8564,0,1,1,0,0,23.55
M00004,2026-02-02,1,11.73,11.73,1.0,0,1,1,0,0,19.39
M00004,2026-02-03,1,11.86,10.28,0.8663,0,0,0,0,0,
M00004,2026-02-04,1,12.28,8.46,0.6885,0,0,0,0,0,
M00004,2026-02-05,1,10.12,7.79,0.7694,0,2,2,0,0,19.19
M00004,2026-02-06,1,9.91,6.61,0.6669,0,1,1,0,0,17.23
M00004,2026-02-07,0,9.51,0.0,0.0,0,1,1,0,0,25.54
M00004,2026-02-08,1,11.58,9.78,0.845,0,1,1,0,0,22.01
M00004,2026-02-09,1,13.1,11.18,0.8534,0,0,0,0,0,
M00004,2026-02-10,1,12.92,10.37,0.803,0,1,1,0,0,26.83
