merchant_id,merchant_name,city,cuisine_type,segment,join_date,menu_ready,competitor_presence,profile_avg_rating
M00103,Merchant 00103,Oakland,Chinese,SMB,2021-05-31,0,0,3.82
M00104,Merchant 00104,San Francisco,Indian,SMB,2024-02-18,1,1,4.83
M00105,Merchant 00105,San Jose,Italian,SMB,2022-07-20,1,0,3.83
M00106,Merchant 00106,Berkeley,Italian,Mid-Market,2021-10-08,1,1,4.49
M00107,Merchant 00107,San Jose,Japanese,SMB,2020-06-09,1,0,4.08
M00108,Merchant 00108,Fremont,Japanese,SMB,2020-06-28,1,1,4.29
M00109,Merchant 00109,Palo Alto,Mediterranean,SMB,2023-01-15,1,1,4.53
M00110,Merchant 00110,Palo Alto,Indian,SMB,2023-08-16,1,0,4.22
M00111,Merchant 00111,Palo Alto,Mexican,SMB,2024-07-20,1,1,3.92
M00112,Merchant 00112,Fremont,Indian,SMB,2021-02-25,1,0,4.38
M00113,Merchant 00113,Fremont,Mediterranean,SMB,2021-08-25,1,1,3.85
M00114,Merchant 00114,Fremont,American,SMB,2025-05-29,1,0,4.04
M00115,Merchant 00115,Oakland,American,SMB,2020-08-09,1,0,4.59
M00116,Merchant 00116,Oakland,Italian,SMB,2021-04-19,1,0,3.82
M00117,Merchant 00117,San Francisco,Thai,SMB,2024-05-11,1,1,4.3
M00118,Merchant 00118,Berkeley,Chinese,SMB,2024-08-12,0,0,4.33
M00119,Merchant 00119,San Jose,Japanese,SMB,2020-09-24,1,1,4.45
M00120,Merchant 00120,San Francisco,Italian,Mid-Market,2023-03-06,1,0,4.0
M00121,Merchant 00121,Fremont,Japanese,SMB,2025-05-11,1,1,3.78
M00122,Merchant 00122,Oakland,Japanese,SMB,2023-05-09,1,0,4.71
M00123,Merchant 00123,Fremont,Mediterranean,SMB,2025-07-10,1,1,4.25
M00124,Merchant 00124,Fremont,Thai,SMB,2024-07-10,1,0,4.34
M00125,Merchant 00125,Berkeley,Mexican,SMB,2025-07-08,1,1,4.65
M00126,Merchant 00126,San Jose,Mexican,SMB,2021-01-20,1,1,4.19
M00127,Merchant 00127,Palo Alto,Thai,SMB,2022-10-25,1,1,4.15
M00128,Merchant 00128,San Francisco,Thai,SMB,2024-12-12,1,1,3.59
M00129,Merchant 00129,Fremont,Mexican,SMB,2022-10-13,1,0,4.79
M00130,Merchant 00130,San Jose,Thai,SMB,2021-08-08,1,1,3.69
M00131,Merchant 00131,Berkeley,Thai,SMB,2023-02-06,1,1,4.8
M00132,Merchant 00132,San Francisco,Thai,SMB,2021-09-21,1,1,3.81
M00133,Merchant 00133,Berkeley,Mexican,Mid-Market,2020-12-26,1,0,4.06
M00134,Merchant 00134,Oakland,Thai,SMB,2025-03-25,1,1,4.11
M00135,Merchant 00135,Oakland,Thai,SMB,2025-01-31,1,0,3.78
M00136,Merchant 00136,Fremont,Italian,SMB,2022-01-27,1,1,3.91
M00137,Merchant 00137,San Francisco,Italian,SMB,2022-05-20,1,0,4.15
M00138,Merchant 00138,San Jose,Thai,SMB,2020-12-12,1,1,3.97
M00139,Merchant 00139,San Francisco,American,SMB,2021-03-09,1,0,4.64
M00140,Merchant 00140,San Francisco,Mexican,SMB,2024-04-28,1,0,3.83
M00141,Merchant 00141,San Francisco,Thai,SMB,2021-11-04,1,1,4.06
M00142,Merchant 00142,San Francisco,Japanese,Mid-Market,2025-05-25,1,0,4.55
M00143,Merchant 00143,San Francisco,American,SMB,2020-07-23,1,0,3.88
M00144,Merchant 00144,Berkeley,Chinese,SMB,2020-02-23,1,1,4.37
M00145,Merchant 00145,Berkeley,Thai,SMB,2022-01-10,1,1,3.51
M00146,Merchant 00146,Oakland,Thai,SMB,2024-01-17,1,0,5.0
M00147,Merchant 00147,Oakland,Japanese,SMB,2020-03-21,1,1,4.06
M00148,Merchant 00148,Palo Alto,Indian,SMB,2025-07-11,1,0,4.4
M00149,Merchant 00149,Berkeley,Italian,Mid-Market,2022-10-18,1,0,4.04
M00150,Merchant 00150,Oakland,Chinese,SMB,2025-08-31,0,1,4.01
M00151,Merchant 00151,Fremont,American,SMB,2022-01-14,1,0,4.62
M00152,Merchant 00152,San Francisco,Mediterranean,Mid-Market,2021-10-02,1,0,4.92
M00153,Merchant 00153,Oakland,American,Mid-Market,2022-12-28,0,0,4.51
M00154,Merchant 00154,San Francisco,Thai,Mid-Market,2022-08-22,1,1,4.12
M00155,Merchant 00155,Palo Alto,Mediterranean,Mid-Market,2023-10-08,1,1,4.13
M00156,Merchant 00156,Palo Alto,Mediterranean,SMB,2021-03-11,1,0,4.28
M00157,Merchant 00157,Berkeley,Italian,SMB,2021-06-20,1,0,4.39
M00158,Merchant 00158,Berkeley,Mediterranean,Mid-Market,2022-09-28,1,1,4.13
M00159,Merchant 00159,San Francisco,Mexican,SMB,2025-07-16,1,0,3.72
M00160,Merchant 00160,Fremont,Thai,SMB,2021-03-22,1,0,4.13
M00161,Merchant 00161,Berkeley,Mediterranean,SMB,2021-07-27,1,0,4.25
M00162,Merchant 00162,Oakland,Indian,SMB,2023-02-23,1,1,4.57
M00163,Merchant 00163,San Francisco,Indian,Enterprise,2023-06-11,1,0,4.32
M00164,Merchant 00164,Oakland,American,SMB,2020-05-30,1,1,4.35
M00165,Merchant 00165,Berkeley,Italian,Mid-Market,2024-12-14,1,0,4.29
M00166,Merchant 00166,San Francisco,Mediterranean,SMB,2024-03-27,1,1,4.69
M00167,Merchant 00167,Fremont,Italian,SMB,2022-04-20,1,1,3.91
M00168,Merchant 00168,San Jose,Mexican,Mid-Market,2024-06-19,1,0,4.03
M00169,Merchant 00169,Oakland,Chinese,SMB,2022-05-07,1,0,4.75
M00170,Merchant 00170,San Francisco,American,SMB,2024-08-18,1,1,4.18
M00171,Merchant 00171,San Jose,Japanese,SMB,2025-06-28,1,0,4.15
M00172,Merchant 00172,Palo Alto,Indian,SMB,2025-06-11,1,1,4.57
M00173,Merchant 00173,San Francisco,Japanese,SMB,2020-04-09,0,1,4.05
M00174,Merchant 00174,San Francisco,Thai,SMB,2020-10-01,1,1,4.71
M00175,Merchant 00175,Palo Alto,Indian,SMB,2024-11-10,0,1,4.35
M00176,Merchant 00176,Berkeley,Chinese,Mid-Market,2020-11-16,1,0,3.31
M00177,Merchant 00177,San Jose,Thai,SMB,2020-07-24,1,1,4.42
M00178,Merchant 00178,San Jose,Chinese,SMB,2024-02-29,1,0,4.97
M00179,Merchant 00179,Fremont,Japanese,SMB,2023-04-04,1,1,4.71
M00180,Merchant 00180,San Jose,Mediterranean,Mid-Market,2021-10-11,1,1,3.75
M00181,Merchant 00181,Oakland,Chinese,SMB,2021-04-10,1,1,4.74
M00182,Merchant 00182,Palo Alto,Indian,Mid-Market,2025-03-19,1,1,4.08
M00183,Merchant 00183,Oakland,Mexican,SMB,2024-07-12,1,0,4.2
M00184,Merchant 00184,Fremont,American,SMB,2022-04-15,1,0,4.22
M00185,Merchant 00185,Fremont,Chinese,SMB,2021-11-13,1,0,3.97
M00186,Merchant 00186,Berkeley,Italian,SMB,2022-08-17,1,0,4.28
M00187,Merchant 00187,San Francisco,Thai,Mid-Market,2023-11-30,1,1,3.9
M00188,Merchant 00188,San Jose,Thai,SMB,2020-11-07,1,1,4.46
M00189,Merchant 00189,Berkeley,Mexican,SMB,2023-09-11,1,0,4.28
M00190,Merchant 00190,San Francisco,Mexican,Mid-Market,2024-05-20,1,1,4.03
M00191,Merchant 00191,Oakland,Japanese,Mid-Market,2021-06-16,0,1,4.72
M00192,Merchant 00192,San Francisco,Mediterranean,Mid-Market,2020-09-06,1,1,4.82
M00193,Merchant 00193,Fremont,Thai,SMB,2024-02-16,1,1,4.43
M00194,Merchant 00194,San Francisco,Italian,SMB,2020-12-06,1,1,4.21
M00195,Merchant 00195,Fremont,Italian,Mid-Market,2021-02-17,1,1,4.27
M00196,Merchant 00196,Palo Alto,Mexican,Enterprise,2023-11-21,1,0,4.46
M00197,Merchant 00197,San Jose,Mediterranean,Mid-Market,2025-08-15,1,1,4.06
M00198,Merchant 00198,Fremont,Thai,SMB,2024-11-18,1,1,4.52
M00199,Merchant 00199,Palo Alto,Chinese,SMB,2024-04-03,1,1,4.38
M00200,Merchant 00200,Palo Alto,Italian,SMB,2020-10-13,1,0,4.89
M00201,Merchant 00201,San Jose,Japanese,SMB,2022-08-15,1,0,4.22
M00202,Merchant 00202,Berkeley,Japanese,SMB,2024-02-18,1,0,5.0
M00203,Merchant 00203,Palo Alto,Japanese,SMB,2023-03-27,1,0,4.2
M00204,Merchant 00204,San Francisco,Thai,Mid-Market,2021-12-09,1,1,4.25
M00205,Merchant 00205,Palo Alto,Mediterranean,SMB,2020-09-24,1,0,3.57
M00206,Merchant 00206,Oakland,Japanese,Mid-Market,2025-04-19,1,0,4.45
M00207,Merchant 00207,Oakland,Chinese,SMB,2025-06-04,1,1,3.87
M00208,Merchant 00208,Berkeley,Mexican,SMB,2020-04-11,1,0,3.67
M00209,Merchant 00209,San Francisco,Mediterranean,SMB,2025-02-14,0,1,4.71
M00210,Merchant 00210,Oakland,Indian,SMB,2023-08-27,1,0,4.24
M00211,Merchant 00211,Berkeley,Chinese,SMB,2022-12-10,1,0,4.17
M00212,Merchant 00212,Palo Alto,Mexican,SMB,2023-06-03,1,0,4.77
M00213,Merchant 00213,Palo Alto,Indian,Mid-Market,2020-03-11,1,0,3.94
M00214,Merchant 00214,Oakland,Indian,SMB,2024-09-01,0,0,3.9
M00215,Merchant 00215,Oakland,Chinese,SMB,2020-10-01,1,0,4.72
M00216,Merchant 00216,Oakland,Mexican,SMB,2023-05-05,1,1,4.03
M00217,Merchant 00217,San Jose,Japanese,Enterprise,2020-03-07,1,0,5.0
M00218,Merchant 00218,Oakland,Japanese,Mid-Market,2020-06-22,1,0,4.49
M00219,Merchant 00219,Fremont,Mediterranean,SMB,2023-05-13,1,0,4.87
M00220,Merchant 00220,San Francisco,Thai,SMB,2025-08-04,1,0,3.67
M00221,Merchant 00221,Oakland,Italian,SMB,2022-12-22,1,1,4.05
M00222,Merchant 00222,Oakland,Italian,SMB,2020-03-26,1,1,4.16
M00223,Merchant 00223,Fremont,Chinese,SMB,2025-01-21,1,0,4.02
M00224,Merchant 00224,Oakland,Thai,SMB,2022-02-04,1,0,3.96
M00225,Merchant 00225,Oakland,Chinese,SMB,2024-08-15,0,0,4.46
M00226,Merchant 00226,Berkeley,Italian,SMB,2021-10-28,1,0,4.04
M00227,Merchant 00227,Palo Alto,Indian,SMB,2022-09-07,1,1,3.48
M00228,Merchant 00228,San Francisco,Thai,Mid-Market,2025-01-05,1,1,4.65
M00229,Merchant 00229,Oakland,Japanese,SMB,2023-07-21,1,1,3.84
M00230,Merchant 00230,Palo Alto,Italian,SMB,2022-09-14,1,0,4.04
M00231,Merchant 00231,San Francisco,Mexican,Mid-Market,2020-09-02,1,0,4.44
M00232,Merchant 00232,Berkeley,Thai,SMB,2023-05-16,0,0,3.58
M00233,Merchant 00233,Palo Alto,Thai,Enterprise,2025-03-13,0,1,4.14
M00234,Merchant 00234,San Jose,Japanese,SMB,2020-05-19,1,1,2.82
M00235,Merchant 00235,Palo Alto,Japanese,Enterprise,2021-05-19,1,0,3.7
M00236,Merchant 00236,San Jose,Indian,SMB,2023-11-19,1,0,4.48
M00237,Merchant 00237,Palo Alto,Italian,Mid-Market,2024-05-08,1,0,4.8
M00238,Merchant 00238,San Francisco,Mexican,Mid-Market,2023-08-08,1,1,3.37
M00239,Merchant 00239,Berkeley,Thai,SMB,2024-05-15,1,1,4.36
M00240,Merchant 00240,San Jose,Japanese,SMB,2023-02-19,1,0,3.5
M00241,Merchant 00241,San Jose,American,SMB,2020-12-27,1,0,4.12
M00242,Merchant 00242,Oakland,Mediterranean,SMB,2022-03-12,1,0,4.32
M00243,Merchant 00243,Fremont,Mexican,SMB,2021-06-30,1,1,4.15
M00244,Merchant 00244,San Jose,American,SMB,2021-04-15,1,0,4.31
M00245,Merchant 00245,San Jose,Mediterranean,SMB,2022-02-23,0,1,4.0
M00246,Merchant 00246,San Francisco,Thai,SMB,2021-06-09,1,0,3.85
M00247,Merchant 00247,Palo Alto,Mediterranean,SMB,2020-10-11,1,0,4.36
M00248,Merchant 00248,San Jose,Thai,Mid-Market,2023-03-01,0,0,4.61
M00249,Merchant 00249,Palo Alto,Mediterranean,SMB,2020-10-07,1,1,3.74
M00250,Merchant 00250,Oakland,Indian,SMB,2020-11-11,1,0,4.31
M00251,Merchant 00251,Palo Alto,American,Mid-Market,2023-05-03,1,0,4.45
M00252,Merchant 00252,San Francisco,Japanese,Mid-Market,2025-01-06,1,0,4.27
M00253,Merchant 00253,Oakland,Thai,Mid-Market,2023-04-03,1,0,3.91
M00254,Merchant 00254,San Francisco,Mexican,SMB,2025-08-10,1,1,4.35
M00255,Merchant 00255,Berkeley,Mediterranean,SMB,2024-04-14,1,1,3.93
M00256,Merchant 00256,San Jose,Thai,Enterprise,2022-07-09,1,1,3.99
M00257,Merchant 00257,San Jose,Mediterranean,SMB,2020-07-02,1,0,4.48
M00258,Merchant 00258,Berkeley,Mediterranean,SMB,2021-08-21,1,1,4.06
M00259,Merchant 00259,San Jose,Thai,Mid-Market,2025-08-23,1,1,3.85
M00260,Merchant 00260,San Francisco,Chinese,SMB,2021-04-02,1,1,4.29
M00261,Merchant 00261,Oakland,American,SMB,2025-05-17,1,1,4.2
M00262,Merchant 00262,Palo Alto,Chinese,SMB,2024-04-24,1,0,4.58
M00263,Merchant 00263,Palo Alto,Japanese,SMB,2025-06-14,0,0,4.3
M00264,Merchant 00264,Palo Alto,Mediterranean,Mid-Market,2020-12-31,1,0,4.67
M00265,Merchant 00265,San Francisco,Mexican,Mid-Market,2025-08-20,1,0,3.85
M00266,Merchant 00266,Fremont,Japanese,SMB,2022-01-15,1,0,4.31
M00267,Merchant 00267,Fremont,Mexican,SMB,2022-03-24,1,0,3.96
M00268,Merchant 00268,San Francisco,Japanese,SMB,2020-12-19,1,0,3.98
M00269,Merchant 00269,Oakland,Mediterranean,Mid-Market,2024-02-02,0,1,3.86
M00270,Merchant 00270,Palo Alto,Japanese,SMB,2025-08-04,1,0,4.21
M00271,Merchant 00271,Fremont,Italian,SMB,2023-07-01,1,0,3.94
M00272,Merchant 00272,San Jose,Italian,Mid-Market,2023-02-05,1,0,4.79
M00273,Merchant 00273,San Jose,Thai,SMB,2021-10-05,1,1,4.63
M00274,Merchant 00274,Fremont,Chinese,Mid-Market,2025-01-12,1,0,3.74
M00275,Merchant 00275,San Francisco,Thai,SMB,2024-07-28,1,1,4.56
M00276,Merchant 00276,Palo Alto,Mexican,SMB,2024-08-30,1,0,3.9
M00277,Merchant 00277,Palo Alto,Mexican,Mid-Market,2021-08-22,1,0,4.7
M00278,Merchant 00278,San Francisco,Italian,SMB,2022-04-19,1,0,4.87
M00279,Merchant 00279,San Jose,Japanese,Enterprise,2021-05-24,1,0,3.92
M00280,Merchant 00280,San Francisco,Italian,SMB,2024-02-13,1,0,4.27
M00281,Merchant 00281,Palo Alto,Japanese,Mid-Market,2025-01-31,1,1,4.57
M00282,Merchant 00282,Palo Alto,Thai,Mid-Market,2024-10-29,1,0,4.83
M00283,Merchant 00283,Berkeley,Japanese,Enterprise,2022-06-18,1,1,3.7
M00284,Merchant 00284,Fremont,Indian,SMB,2022-04-05,1,0,4.61
M00285,Merchant 00285,San Jose,Italian,SMB,2023-08-04,1,0,4.24
M00286,Merchant 00286,Oakland,Mexican,Mid-Market,2021-09-11,1,0,4.23
M00287,Merchant 00287,Fremont,Thai,SMB,2020-07-03,1,0,4.13
M00288,Merchant 00288,Palo Alto,Italian,SMB,2024-06-05,1,0,4.61
M00289,Merchant 00289,Palo Alto,Japanese,Mid-Market,2023-11-27,1,0,4.3
M00290,Merchant 00290,Berkeley,Italian,SMB,2024-01-20,1,0,4.99
M00291,Merchant 00291,San Francisco,Japanese,SMB,2024-09-03,1,0,3.89
M00292,Merchant 00292,San Francisco,Italian,Mid-Market,2021-12-06,1,1,4.81
M00293,Merchant 00293,San Francisco,Italian,SMB,2021-11-14,0,1,3.97
M00294,Merchant 00294,Fremont,Thai,SMB,2023-11-05,1,0,4.3
M00295,Merchant 00295,Oakland,Indian,SMB,2024-06-14,1,0,4.06
M00296,Merchant 00296,San Francisco,Japanese,Mid-Market,2020-03-16,1,1,3.98
M00297,Merchant 00297,Palo Alto,Japanese,SMB,2024-11-19,1,1,4.49
M00298,Merchant 00298,Oakland,Mexican,Mid-Market,2024-09-16,1,0,4.16
M00299,Merchant 00299,Palo Alto,Indian,SMB,2024-01-24,1,0,4.83
M00300,Merchant 00300,San Jose,Mediterranean,SMB,2024-08-04,1,0,3.45
M00301,Merchant 00301,Oakland,Italian,SMB,2023-04-15,0,0,5.0
M00302,Merchant 00302,San Francisco,Mediterranean,SMB,2024-01-08,1,0,5.0
M00303,Merchant 00303,Fremont,Mexican,SMB,2025-02-12,1,0,3.51
M00304,Merchant 00304,Berkeley,Japanese,SMB,2024-01-15,1,1,4.14
M00305,Merchant 00305,San Francisco,Indian,SMB,2025-06-14,1,0,4.76
M00306,Merchant 00306,Oakland,Italian,SMB,2022-08-09,1,0,4.31
M00307,Merchant 00307,Oakland,Chinese,Mid-Market,2023-12-27,1,0,5.0
M00308,Merchant 00308,San Francisco,Thai,Enterprise,2020-03-23,1,1,3.95
M00309,Merchant 00309,San Jose,Thai,Mid-Market,2023-09-27,1,0,3.96
M00310,Merchant 00310,Oakland,Chinese,SMB,2020-09-01,1,1,3.89
M00311,Merchant 00311,Berkeley,Japanese,SMB,2022-09-01,1,0,3.72
M00312,Merchant 00312,Oakland,Chinese,SMB,2021-03-29,1,0,4.03
M00313,Merchant 00313,San Jose,Mexican,Mid-Market,2022-10-31,1,1,4.3
M00314,Merchant 00314,San Francisco,American,Mid-Market,2024-01-13,1,1,4.41
M00315,Merchant 00315,Fremont,Italian,SMB,2020-12-16,1,1,4.28
M00316,Merchant 00316,San Francisco,Mediterranean,SMB,2023-03-25,1,0,4.33
M00317,Merchant 00317,Fremont,Japanese,Mid-Market,2024-11-18,1,1,4.16
M00318,Merchant 00318,San Francisco,Indian,SMB,2024-03-27,1,0,3.99
M00319,Merchant 00319,Berkeley,Mexican,SMB,2022-08-05,1,1,4.68
M00320,Merchant 00320,San Francisco,Mediterranean,SMB,2021-11-18,1,0,3.89
M00321,Merchant 00321,Fremont,Indian,SMB,2022-05-27,1,1,4.02
M00322,Merchant 00322,Fremont,Mediterranean,Mid-Market,2024-03-08,0,1,4.34
M00323,Merchant 00323,Fremont,Mediterranean,SMB,2025-08-26,1,0,4.09
M00324,Merchant 00324,Fremont,Thai,SMB,2023-05-09,1,0,3.9
M00325,Merchant 00325,San Francisco,Japanese,SMB,2024-02-11,1,1,4.07
M00326,Merchant 00326,San Francisco,Indian,SMB,2020-12-26,1,1,4.26
M00327,Merchant 00327,San Jose,Mexican,SMB,2024-09-26,1,0,3.91
M00328,Merchant 00328,San Francisco,Mexican,SMB,2022-10-01,1,1,4.33
M00329,Merchant 00329,San Jose,Mexican,SMB,2023-09-28,1,0,3.87
M00330,Merchant 00330,Palo Alto,American,SMB,2023-10-14,1,0,4.08
M00331,Merchant 00331,San Jose,Chinese,Mid-Market,2023-01-14,1,1,4.63
